route,period,passengers,is_eid_holiday,is_school_year_end,is_year_end_holiday
5A,2024-12-01,22533.0,0,0,1
5A,2025-01-01,20772.0,0,0,0
5A,2025-02-01,21298.0,0,0,0
5A,2025-03-01,22488.0,1,0,0
5A,2025-04-01,23994.0,1,0,0
5A,2025-05-01,23324.0,0,0,0
5A,2025-06-01,37209.0,0,1,0
5A,2025-07-01,30270.0,0,1,0
5A,2025-08-01,29653.0,0,0,0
5A,2025-09-01,31727.0,0,0,0
5A,2025-10-01,33468.0,0,0,0
5A,2025-11-01,32460.0,0,0,0
5A,2025-12-01,29481.0,0,0,1
5B,2023-01-01,16319.0,0,0,0
5B,2023-02-01,16967.0,0,0,0
5B,2023-03-01,19090.0,0,0,0
5B,2023-04-01,15152.0,1,0,0
5B,2023-05-01,20159.0,0,0,0
5B,2023-06-01,17650.0,0,1,0
5B,2023-07-01,20881.0,0,1,0
5B,2023-08-01,22989.0,0,0,0
5B,2023-09-01,24567.0,0,0,0
5B,2023-10-01,25463.0,0,0,0
5B,2023-11-01,25090.0,0,0,0
5B,2023-12-01,25551.0,0,0,1
5B,2024-01-01,22770.0,0,0,0
5B,2024-02-01,27868.0,0,0,0
5B,2024-03-01,28394.0,0,0,0
5B,2024-04-01,24527.0,1,0,0
5B,2024-05-01,28143.0,0,0,0
5B,2024-06-01,26460.0,0,1,0
5B,2024-07-01,28130.0,0,1,0
5B,2024-08-01,30689.0,0,0,0
5B,2024-09-01,31852.0,0,0,0
5B,2024-10-01,33127.0,0,0,0
5B,2024-11-01,31061.0,0,0,0
5B,2024-12-01,37933.0,0,0,1
5B,2025-01-01,23836.0,0,0,0
5B,2025-02-01,28030.0,0,0,0
5B,2025-03-01,24482.0,1,0,0
5B,2025-04-01,24532.0,1,0,0
5B,2025-05-01,25416.0,0,0,0
5B,2025-06-01,21705.0,0,1,0
5B,2025-07-01,32124.0,0,1,0
5B,2025-08-01,35688.0,0,0,0
5B,2025-09-01,24145.0,0,0,0
5B,2025-10-01,33581.0,0,0,0
5B,2025-11-01,28749.0,0,0,0
5B,2025-12-01,27387.0,0,0,1
6,2023-01-01,15678.0,0,0,0
6,2023-02-01,14559.0,0,0,0
6,2023-03-01,16488.0,0,0,0
6,2023-04-01,11902.0,1,0,0
6,2023-05-01,16383.0,0,0,0
6,2023-06-01,15214.0,0,1,0
6,2023-07-01,17083.0,0,1,0
6,2023-08-01,18536.0,0,0,0
6,2023-09-01,20463.0,0,0,0
6,2023-10-01,29380.0,0,0,0
6,2023-11-01,29077.0,0,0,0
6,2023-12-01,35989.0,0,0,1
6,2024-01-01,30786.0,0,0,0
6,2024-02-01,41176.0,0,0,0
6,2024-03-01,38148.0,0,0,0
6,2024-04-01,36149.0,1,0,0
6,2024-05-01,42005.0,0,0,0
6,2024-06-01,38612.0,0,1,0
6,2024-07-01,43663.0,0,1,0
6,2024-08-01,43618.0,0,0,0
6,2024-09-01,47767.0,0,0,0
6,2024-10-01,46957.0,0,0,0
6,2024-11-01,44748.0,0,0,0
6,2024-12-01,46098.0,0,0,1
6,2025-01-01,40288.0,0,0,0
6,2025-02-01,28997.0,0,0,0
6,2025-03-01,24248.0,1,0,0
6,2025-04-01,27187.0,1,0,0
6,2025-05-01,31988.0,0,0,0
6,2025-06-01,24904.0,0,1,0
6,2025-07-01,32638.0,0,1,0
6,2025-08-01,33062.0,0,0,0
6,2025-09-01,35096.0,0,0,0
6,2025-10-01,37960.0,0,0,0
6,2025-11-01,43741.0,0,0,0
6,2025-12-01,36822.0,0,0,1
8,2023-01-01,25702.0,0,0,0
8,2023-02-01,22606.0,0,0,0
8,2023-03-01,23268.0,0,0,0
8,2023-04-01,20537.0,1,0,0
8,2023-05-01,25397.0,0,0,0
8,2023-06-01,23373.0,0,1,0
8,2023-07-01,27509.0,0,1,0
8,2023-08-01,26050.0,0,0,0
8,2023-09-01,27691.0,0,0,0
8,2023-10-01,27196.0,0,0,0
8,2023-11-01,26949.0,0,0,0
8,2023-12-01,30254.0,0,0,1
8,2024-01-01,26454.0,0,0,0
8,2024-02-01,30554.0,0,0,0
8,2024-03-01,27833.0,0,0,0
8,2024-04-01,26604.0,1,0,0
8,2024-05-01,30953.0,0,0,0
8,2024-06-01,29654.0,0,1,0
8,2024-07-01,32920.0,0,1,0
8,2024-08-01,29407.0,0,0,0
8,2024-09-01,31246.0,0,0,0
8,2024-10-01,32526.0,0,0,0
8,2024-11-01,30491.0,0,0,0
8,2024-12-01,35370.0,0,0,1
8,2025-01-01,27852.0,0,0,0
8,2025-02-01,28817.0,0,0,0
8,2025-03-01,27957.0,1,0,0
8,2025-04-01,31191.0,1,0,0
8,2025-05-01,30633.0,0,0,0
8,2025-06-01,28056.0,0,1,0
8,2025-07-01,41277.0,0,1,0
8,2025-08-01,42374.0,0,0,0
8,2025-09-01,42844.0,0,0,0
8,2025-10-01,54373.0,0,0,0
8,2025-11-01,49153.0,0,0,0
8,2025-12-01,57753.0,0,0,1
9,2023-01-01,24362.0,0,0,0
9,2023-02-01,22407.0,0,0,0
9,2023-03-01,24105.0,0,0,0
9,2023-04-01,20973.0,1,0,0
9,2023-05-01,26014.0,0,0,0
9,2023-06-01,23300.0,0,1,0
9,2023-07-01,26776.0,0,1,0
9,2023-08-01,26354.0,0,0,0
9,2023-09-01,27881.0,0,0,0
9,2023-10-01,29157.0,0,0,0
9,2023-11-01,27332.0,0,0,0
9,2023-12-01,30743.0,0,0,1
9,2024-01-01,27560.0,0,0,0
9,2024-02-01,28479.0,0,0,0
9,2024-03-01,29616.0,0,0,0
9,2024-04-01,29444.0,1,0,0
9,2024-05-01,31846.0,0,0,0
9,2024-06-01,28644.0,0,1,0
9,2024-07-01,32594.0,0,1,0
9,2024-08-01,32115.0,0,0,0
9,2024-09-01,32923.0,0,0,0
9,2024-10-01,35914.0,0,0,0
9,2024-11-01,33213.0,0,0,0
9,2024-12-01,37309.0,0,0,1
9,2025-01-01,32477.0,0,0,0
9,2025-02-01,32327.0,0,0,0
9,2025-03-01,31637.0,1,0,0
9,2025-04-01,37731.0,1,0,0
9,2025-05-01,42204.0,0,0,0
9,2025-06-01,32153.0,0,1,0
9,2025-07-01,43754.0,0,1,0
9,2025-08-01,40164.0,0,0,0
9,2025-09-01,37499.0,0,0,0
9,2025-10-01,41210.0,0,0,0
9,2025-11-01,36182.0,0,0,0
9,2025-12-01,44058.0,0,0,1
